cross_elasticity,base_ticket,ceiling_ticket,ticket_change,ticket_pct_change,sw_change
0.0,70.44006297796392,76.3124307164382,5.872367738474281,8.336687234807494,-523717.9279615395
0.01,70.36184096696358,76.40880905220884,6.046968085245254,8.594101578559377,-443372.82189019397
0.02,70.2913572608109,76.50555452503411,6.214197264223216,8.840627790363897,-365145.61946930364
0.03,70.23086424132775,76.60256639595264,6.371702154624884,9.072509961902785,-289236.4183371831
0.04,70.18265339173938,76.69982467694008,6.517171285200703,9.286014378544127,-215971.28515333682
0.05,70.02011648768094,76.79741402638948,6.777297538708538,9.679072070525496,-87600.57576749846
0.06,70.02660053007654,76.89533759500281,6.868737064926279,9.808754120480456,-37334.570033242926
0.07,70.33863442423306,76.9934547760777,6.654820351844634,9.46111679067787,-81678.1396975927
0.08,70.12176328976065,77.09186992012557,6.970106630364924,9.940004790756184,56319.57482096553
0.09,70.39725105406224,77.19061844658474,6.793367392522498,9.650046402103785,46831.83329972252
0.1,70.43563943320396,77.28968711716377,6.854047683959806,9.730936978941873,110776.69413000718
0.11,70.44233866857317,77.38893124560668,6.946592577033513,9.861388347307432,183766.73407912068
0.12,70.60554264634634,77.48849062104233,6.882947974695995,9.748452765488613,219753.47588177025
0.13,70.61214854972042,77.58840708207879,6.976258532358372,9.879685968549957,294414.49315359816
0.14,70.96512927356589,77.68857793956315,6.723448665997253,9.474299187251244,293256.92218034714
0.15,70.79262572947356,77.78907126741683,6.9964455379432735,9.883014601943763,407764.04246047325
0.16,70.90499144993935,77.88986405721924,6.984872607279897,9.851030885761247,461188.9909879826
0.17,71.02823821063703,77.99085221382374,6.962614003186715,9.802599893494213,513347.2339932844
0.18,71.16427949730323,78.09218786822517,6.927908370921941,9.735092408522839,563837.9899344891
0.19,71.33654300509775,78.19381970264534,6.85727669754759,9.612572194671065,608047.4028260354
0.2,72.4627763838626,78.29570743632495,5.832931052462342,8.049555017824762,477271.06414457597
0.21,71.7768527281443,78.39793972551878,6.621086997374476,9.224543492387326,681254.2762587648
0.22,72.04547444889857,78.50034201408484,6.454867565186262,8.959435154757234,710571.127023315
0.23,72.37126797793574,78.6031533039724,6.231885326036661,8.610993699787905,730773.5754520074
0.24,72.89725943980109,78.70630891853334,5.809049478732248,7.96881737855919,717361.5356993303
0.25,74.3035963017844,78.96680733404405,4.663211032259653,6.275888738036306,550479.7828418761
0.26,73.14389382374426,79.30787527172507,6.163981447980802,8.427198944089875,798726.8415849283
0.27,73.2891318082647,79.64894504491178,6.359813236647085,8.677703064194153,832060.5098538566
0.28,73.39806660539783,79.99001564430803,6.591949038910201,8.981093567967925,871665.1984120756
0.29,73.46761729297552,80.33108640408685,6.863469111111328,9.342169195090477,918060.1654352266
0.3,76.0532238778772,80.67251776096886,4.6192938830916574,6.073764723648156,559955.0873282794
